Name,Description,Category
Awkward Moments,My most embarrassing moment was when I ____ in front of my crush.,Awkward Moments
Awkward Moments,I accidentally called my teacher ____.,Awkward Moments
Awkward Moments,The worst time to ____ is during a job interview.,Awkward Moments
Awkward Moments,I walked in on my parents ____.,Awkward Moments
Awkward Moments,Nothing kills the mood like ____.,Awkward Moments
Awkward Moments,I can't believe I ____ at my own wedding.,Awkward Moments
Awkward Moments,The most awkward thing to do on a first date is ____.,Awkward Moments
Awkward Moments,I accidentally sent ____ to my boss instead of my friend.,Awkward Moments
Awkward Moments,My family will never let me forget the time I ____.,Awkward Moments
Awkward Moments,The worst thing to say during a funeral is ____.,Awkward Moments
Awkward Moments,I got caught ____ by my in-laws.,Awkward Moments
Awkward Moments,Nothing says 'awkward silence' like ____.,Awkward Moments
Awkward Moments,I accidentally liked my ex's photo from ____.,Awkward Moments
Awkward Moments,The most embarrassing thing in my search history is ____.,Awkward Moments
Awkward Moments,I can't believe I ____ in front of the entire masjid.,Awkward Moments
Pakistani Problems,The most Pakistani problem is ____.,Pakistani Problems
Pakistani Problems,You know you're in Pakistan when ____.,Pakistani Problems
Pakistani Problems,Nothing screams Pakistan like ____.,Pakistani Problems
Pakistani Problems,The struggle of living in Pakistan is ____.,Pakistani Problems
Pakistani Problems,Every Pakistani has experienced ____.,Pakistani Problems
Pakistani Problems,The most annoying thing about Pakistan is ____.,Pakistani Problems
Pakistani Problems,I moved to Pakistan and all I got was ____.,Pakistani Problems
Pakistani Problems,Pakistan would be perfect if it wasn't for ____.,Pakistani Problems
Pakistani Problems,The national sport of Pakistan is actually ____.,Pakistani Problems
Pakistani Problems,You can take the Pakistani out of Pakistan but you can't take ____ out of the Pakistani.,Pakistani Problems
Pakistani Problems,The real reason people leave Pakistan is ____.,Pakistani Problems
Pakistani Problems,Pakistan runs on ____ and chai.,Pakistani Problems
Pakistani Problems,The Pakistani solution to everything is ____.,Pakistani Problems
Pakistani Problems,Living in Pakistan has taught me ____.,Pakistani Problems
Pakistani Problems,The most Pakistani sentence ever is ____.,Pakistani Problems
Desi Parents,My desi parents think I'm always ____.,Desi Parents
Desi Parents,Desi parents will never understand ____.,Desi Parents
Desi Parents,The worst thing to tell your desi parents is ____.,Desi Parents
Desi Parents,My mom's solution to everything is ____.,Desi Parents
Desi Parents,Desi dads are obsessed with ____.,Desi Parents
Desi Parents,I can never tell my parents about ____.,Desi Parents
Desi Parents,Desi parents think mental health is just ____.,Desi Parents
Desi Parents,The fastest way to disappoint your parents is ____.,Desi Parents
Desi Parents,My parents compared me to ____ again.,Desi Parents
Desi Parents,Desi moms will blame everything on ____.,Desi Parents
Desi Parents,The scariest thing a desi parent can say is ____.,Desi Parents
Desi Parents,My dad's favorite hobby is ____.,Desi Parents
Desi Parents,Desi parents think success means ____.,Desi Parents
Desi Parents,I'm hiding ____ from my parents.,Desi Parents
Desi Parents,My mom thinks I'm sick because of ____.,Desi Parents
Wedding Drama,The worst thing that can happen at a Pakistani wedding is ____.,Wedding Drama
Wedding Drama,Every Pakistani wedding has ____.,Wedding Drama
Wedding Drama,The drama at my cousin's wedding was caused by ____.,Wedding Drama
Wedding Drama,Pakistani weddings would be incomplete without ____.,Wedding Drama
Wedding Drama,The bride's family and groom's family fought over ____.,Wedding Drama
Wedding Drama,The most embarrassing wedding moment was ____.,Wedding Drama
Wedding Drama,At my wedding I'm definitely not having ____.,Wedding Drama
Wedding Drama,The aunties at the wedding were gossiping about ____.,Wedding Drama
Wedding Drama,The wedding was ruined by ____.,Wedding Drama
Wedding Drama,Pakistani wedding photographers love to capture ____.,Wedding Drama
Wedding Drama,The mehndi function was cancelled because of ____.,Wedding Drama
Wedding Drama,The worst wedding gift I ever received was ____.,Wedding Drama
Wedding Drama,Pakistani weddings waste money on ____.,Wedding Drama
Wedding Drama,The groom's side brought ____ as jahez.,Wedding Drama
Wedding Drama,The wedding hall ran out of ____.,Wedding Drama
Ramadan Life,The hardest part of Ramadan is ____.,Ramadan Life
Ramadan Life,I broke my fast early because of ____.,Ramadan Life
Ramadan Life,Sehri is incomplete without ____.,Ramadan Life
Ramadan Life,The worst thing to smell during Ramadan is ____.,Ramadan Life
Ramadan Life,I gained weight in Ramadan because of ____.,Ramadan Life
Ramadan Life,Taraweeh would be easier if it wasn't for ____.,Ramadan Life
Ramadan Life,My mom made ____ for iftar again.,Ramadan Life
Ramadan Life,The most annoying question during Ramadan is ____.,Ramadan Life
Ramadan Life,I can't wait for Ramadan to end so I can ____.,Ramadan Life
Ramadan Life,Ramadan productivity is killed by ____.,Ramadan Life
Ramadan Life,The best part of Ramadan is ____.,Ramadan Life
Ramadan Life,I accidentally ____ while fasting.,Ramadan Life
Ramadan Life,Laylatul Qadr is best spent ____.,Ramadan Life
Ramadan Life,The Ramadan struggle is real when ____.,Ramadan Life
Ramadan Life,Everyone becomes religious during Ramadan because of ____.,Ramadan Life
School Days,My teacher caught me ____.,School Days
School Days,The worst subject in school was ____.,School Days
School Days,I got detention for ____.,School Days
School Days,The class troublemaker was known for ____.,School Days
School Days,Pakistani schools are obsessed with ____.,School Days
School Days,I cheated on my exam using ____.,School Days
School Days,The principal called my parents because of ____.,School Days
School Days,School assemblies were always about ____.,School Days
School Days,The most useless thing we learned in school was ____.,School Days
School Days,My excuse for not doing homework was ____.,School Days
School Days,The teacher's pet always ____.,School Days
School Days,I got bullied for ____.,School Days
School Days,The school canteen was famous for ____.,School Days
School Days,PTI period was actually for ____.,School Days
School Days,I'll never forget when my teacher ____.,School Days
Rishta Culture,The rishta was rejected because of ____.,Rishta Culture
Rishta Culture,Aunties judge rishtas based on ____.,Rishta Culture
Rishta Culture,The worst rishta question is ____.,Rishta Culture
Rishta Culture,I rejected the rishta because they ____.,Rishta Culture
Rishta Culture,Rishta aunties are obsessed with ____.,Rishta Culture
Rishta Culture,The boy's family asked about ____.,Rishta Culture
Rishta Culture,Rishta meetings always include ____.,Rishta Culture
Rishta Culture,I lied about ____ during the rishta meeting.,Rishta Culture
Rishta Culture,The deal breaker for the rishta was ____.,Rishta Culture
Rishta Culture,Pakistani parents think the perfect rishta has ____.,Rishta Culture
Rishta Culture,The most awkward rishta moment is ____.,Rishta Culture
Rishta Culture,They brought ____ to impress the girl's family.,Rishta Culture
Rishta Culture,The rishta was finalized because of ____.,Rishta Culture
Rishta Culture,Rishta culture needs to stop ____.,Rishta Culture
Rishta Culture,The worst thing about rishta hunting is ____.,Rishta Culture
Traffic & Travel,Pakistani traffic is full of ____.,Traffic & Travel
Traffic & Travel,The worst thing about Karachi roads is ____.,Traffic & Travel
Traffic & Travel,I got into a road rage fight over ____.,Traffic & Travel
Traffic & Travel,Pakistani drivers think traffic rules are ____.,Traffic & Travel
Traffic & Travel,The rickshaw driver charged extra for ____.,Traffic & Travel
Traffic & Travel,Lahore metro would be better if it had ____.,Traffic & Travel
Traffic & Travel,I missed my flight because of ____.,Traffic & Travel
Traffic & Travel,Pakistani airports are known for ____.,Traffic & Travel
Traffic & Travel,The worst travel companion is someone who ____.,Traffic & Travel
Traffic & Travel,Motorway travel is ruined by ____.,Traffic & Travel
Traffic & Travel,Daewoo buses smell like ____.,Traffic & Travel
Traffic & Travel,The traffic warden tried to fine me for ____.,Traffic & Travel
Traffic & Travel,Pakistani roads need more ____.,Traffic & Travel
Traffic & Travel,I survived Pakistani traffic thanks to ____.,Traffic & Travel
Traffic & Travel,The most dangerous thing on Pakistani roads is ____.,Traffic & Travel
Desi Food Debates,The best biryani is made with ____.,Desi Food Debates
Desi Food Debates,People who put ____ in biryani should be arrested.,Desi Food Debates
Desi Food Debates,Karachi biryani is better than Lahori biryani because of ____.,Desi Food Debates
Desi Food Debates,The worst food combination is ____.,Desi Food Debates
Desi Food Debates,Chai is incomplete without ____.,Desi Food Debates
Desi Food Debates,The most overrated Pakistani dish is ____.,Desi Food Debates
Desi Food Debates,I will fight anyone who says ____ doesn't belong in nihari.,Desi Food Debates
Desi Food Debates,Pakistani street food is dangerous because of ____.,Desi Food Debates
Desi Food Debates,The secret ingredient in my mom's cooking is ____.,Desi Food Debates
Desi Food Debates,Desi weddings serve too much ____.,Desi Food Debates
Desi Food Debates,The worst thing to serve guests is ____.,Desi Food Debates
