Name,Description,Category
**How many teeth does an adult great white shark have?**,Approximately 300 teeth**,Animals Wildlife
**What is the top running speed of a cheetah in miles per hour?**,70 mph**,Animals Wildlife
**How many heartbeats per minute does a hummingbird have at rest?**,250-500 beats per minute**,Animals Wildlife
**What is the wingspan of a wandering albatross in feet?**,11-12 feet**,Animals Wildlife
**How many individual ants are estimated to exist on Earth?**,"10 quadrillion (10,000,000,000,000,000)**",Animals Wildlife
**What is the gestation period of an African elephant in months?**,22 months**,Animals Wildlife
**How deep can a sperm whale dive in feet?**,"3,280 feet (1,000 meters)**",Animals Wildlife
**What is the lifespan of a Galapagos giant tortoise in years?**,100+ years (oldest recorded: 152 years)**,Animals Wildlife
**How many pounds of bamboo does a giant panda eat per day?**,26-84 pounds**,Animals Wildlife
**What is the jumping height of a red kangaroo in feet?**,10 feet high**,Animals Wildlife
**How many eggs can a queen bee lay per day?**,"2,000 eggs per day**",Animals Wildlife
**What is the body length of a blue whale in feet?**,98 feet (30 meters)**,Animals Wildlife
**How many muscles are in an elephant's trunk?**,"40,000 muscles**",Animals Wildlife
**What is the flying speed of a peregrine falcon in a dive (mph)?**,240 mph**,Animals Wildlife
**How many scent receptors does a bloodhound have?**,300 million scent receptors**,Animals Wildlife
**What is the tongue length of a giraffe in inches?**,18-20 inches**,Animals Wildlife
**How many pounds can a bald eagle lift?**,4-5 pounds**,Animals Wildlife
**What is the hibernation period of a groundhog in months?**,3-5 months**,Animals Wildlife
**How many gallons of water can a camel drink in 15 minutes?**,30 gallons**,Animals Wildlife
**What is the swimming speed of a sailfish in mph?**,68 mph**,Animals Wildlife
**How many times per minute does a bee flap its wings?**,"230 times per second (13,800 per minute)**",Animals Wildlife
**What is the weight of a male polar bear in pounds?**,"900-1,600 pounds**",Animals Wildlife
**How many years can a parrot live in captivity?**,50-100 years**,Animals Wildlife
**What is the venom yield of a king cobra in milligrams?**,200-500 mg per bite**,Animals Wildlife
**How many pounds of food does a grizzly bear eat per day before hibernation?**,90 pounds**,Animals Wildlife
"** In feet, how tall is the Empire State Building including its antenna spire?","1,454 feet",Buildings Architecture
** In what year was the Eiffel Tower completed?,1889,Buildings Architecture
** How many floors does the Burj Khalifa have?,163 floors,Buildings Architecture
"** In Australian dollars, what was the final cost of building the Sydney Opera House?",102 million AUD,Buildings Architecture
** How many acres is Vatican City?,110 acres,Buildings Architecture
** In what year was the majority of the Great Wall of China as we see it today completed?,1644 (end of Ming Dynasty),Buildings Architecture
** How many rooms are in Buckingham Palace?,775 rooms,Buildings Architecture
"** In feet, how tall is the Statue of Liberty from ground to torch?",305 feet,Buildings Architecture
** How many years did it take to build the Taj Mahal?,22 years (1632-1653),Buildings Architecture
** How many windows are in the White House?,147 windows,Buildings Architecture
"** In millions of tons, what is the estimated weight of the Great Pyramid of Giza?",6.5 million tons,Buildings Architecture
"** In feet, how tall is the Leaning Tower of Pisa on the low side?",183 feet,Buildings Architecture
** How many bricks were used to build the Empire State Building?,10 million bricks,Buildings Architecture
** In what year was the Colosseum in Rome completed?,80 AD,Buildings Architecture
** How many square feet is the Louvre Museum's total floor space?,"782,910 square feet",Buildings Architecture
** How many steps are in the Washington Monument?,897 steps,Buildings Architecture
"** In 1937 dollars, what was the cost to build the Golden Gate Bridge?",35 million dollars,Buildings Architecture
"** In feet, how tall is the Seattle Space Needle?",605 feet,Buildings Architecture
** How many major stones are in the Stonehenge circle?,83 stones,Buildings Architecture
** In what year did the Brooklyn Bridge open to the public?,1883,Buildings Architecture
** How many square meters is the interior area of St. Peter's Basilica?,"15,160 square meters",Buildings Architecture
** How many elevators are in the Empire State Building?,73 elevators,Buildings Architecture
"** In feet, how tall is the CN Tower in Toronto?","1,815 feet",Buildings Architecture
** How many years did it take to build the Panama Canal?,10 years (1904-1914),Buildings Architecture
** How many visitors does the Eiffel Tower receive annually?,7 million visitors,Buildings Architecture
** What was Apple's total annual revenue in fiscal year 2023?,$383.29 billion,Economy Business
** What was Tesla's highest market capitalization reached in 2021?,$1.2 trillion (reached November 2021),Economy Business
** How many employees does Amazon have globally as of 2024?,1.55 million,Economy Business
** What is the current US national debt in trillions of dollars?,$34.7 trillion (as of November 2024),Economy Business
** What was Bitcoin's highest price ever reached in USD?,"$73,750 (March 2024)",Economy Business
** How many McDonald's restaurants are there worldwide?,"41,822 locations (as of end 2023)",Economy Business
** What is Warren Buffett's net worth in billions of USD?,$143 billion (as of November 2024),Economy Business
** What was Microsoft's total revenue in fiscal year 2023?,$211.92 billion,Economy Business
** What was the world's total GDP in 2023 in trillions of USD?,$105 trillion,Economy Business
** How many Starbucks stores are there worldwide?,"38,583 stores (as of Q3 2024)",Economy Business
** What is the current federal minimum wage in the US per hour?,$7.25 per hour (unchanged since 2009),Economy Business
** How many paid subscribers does Netflix have worldwide?,277.65 million (as of Q3 2024),Economy Business
** What was Alphabet's (Google's parent) total revenue in 2023?,$307.39 billion,Economy Business
** What was the average annual inflation rate in the US for 2023?,3.4%,Economy Business
** How many employees does Walmart have worldwide?,2.1 million employees,Economy Business
** What has been the average annual return of the S&P 500 over the last 50 years?,10.2% (including dividends),Economy Business
** How many Coca-Cola beverages are consumed worldwide daily?,1.9 billion servings per day,Economy Business
** What was the US unemployment rate in October 2024?,4.1%,Economy Business
** How many Amazon Prime subscribers are there globally?,Over 200 million (exact: 200+ million as of 2024),Economy Business
** How many barrels of oil are produced globally per day?,102 million barrels per day (2024 average),Economy Business
** How many daily active users does Facebook have?,2.11 billion (as of Q3 2024),Economy Business
** What is the current federal funds rate range set by the Fed?,4.75% - 5.00% (as of November 2024),Economy Business
** What was Nike's total revenue in fiscal year 2023?,$51.2 billion,Economy Business
** How many smartphones were shipped worldwide in 2023?,1.17 billion units,Economy Business
** What was the US GDP growth rate for 2023?,2.5%,Economy Business
** How many metric tons of rice were produced globally in 2023?,513 million metric tons,Food Agriculture
"** On average, how many pounds of honey does a single honeybee colony produce annually?",60 pounds,Food Agriculture
** How many cups of coffee are consumed worldwide daily?,2.25 billion cups,Food Agriculture
** What is the average wheat yield per acre in the United States (2023)?,53.6 bushels per acre,Food Agriculture
** What percentage of food produced globally is wasted each year?,33%,Food Agriculture
** How many cattle are there worldwide?,1.5 billion head,Food Agriculture
** What is the annual global export value of bananas in US dollars?,$14.5 billion,Food Agriculture
** What percentage of global agricultural land is certified organic?,1.6%,Food Agriculture
** How many eggs does an average laying hen produce per year?,300 eggs,Food Agriculture
** How many metric tons of palm oil were produced globally in 2023?,79 million metric tons,Food Agriculture
** What percentage of global cropland is irrigated?,20%,Food Agriculture
** How many pounds of fresh apples does the average American consume annually?,16.9 pounds,Food Agriculture
** How many gallons of milk does an average dairy cow produce per day?,6-7 gallons (average 6.5 gallons),Food Agriculture
** How many pounds of pesticides are used annually in US agriculture?,1.2 billion pounds,Food Agriculture
** How many metric tons of tomatoes were produced globally in 2023?,189 million metric tons,Food Agriculture
** What is the global food delivery market value in US dollars?,$151.5 billion,Food Agriculture
** How many pounds of chicken does the average American eat per year?,98.6 pounds,Food Agriculture
** How many acres of vineyards exist worldwide?,16.4 million acres,Food Agriculture
** What is the average soybean yield per bushel in the US (2023)?,49.9 bushels per acre,Food Agriculture
** How many pounds of mushrooms are produced commercially in the US annually?,917 million pounds,Food Agriculture
** How many people worldwide face moderate to severe food insecurity?,2.4 billion people,Food Agriculture
** How many pounds of sugar does the average American consume annually?,77 pounds,Food Agriculture
** What percentage of the global workforce is employed in agriculture?,26%,Food Agriculture
** How many bushels of corn were produced in the US in 2023?,15.3 billion bushels,Food Agriculture
** How many farmers markets operate in the United States?,"8,144 markets",Food Agriculture
** How many copies has Minecraft sold worldwide (as of 2024)?,300 million copies,Games Gaming
** What was the global video game market revenue in 2023 (in billion USD)?,$217.06 billion,Games Gaming
** How many monthly active users does Fortnite have (as of 2024)?,80 million monthly active users,Games Gaming
** How many PlayStation 5 consoles have been sold worldwide (as of 2024)?,54.8 million units,Games Gaming
** How many downloads has Candy Crush Saga accumulated?,3 billion downloads,Games Gaming
** What was the development budget for Cyberpunk 2077 (in million USD)?,$316 million,Games Gaming
** What was the total prize pool for The International 2023 (Dota 2 tournament)?,$15 million,Games Gaming
** How many hours do average gamers spend playing per week globally?,8.5 hours per week,Games Gaming
** How many subscribers does Xbox Game Pass have (as of 2024)?,34 million subscribers,Games Gaming
** How many Nintendo Switch consoles have been sold worldwide (as of 2024)?,143.4 million units,Games Gaming
** How many active users does Steam have monthly (as of 2024)?,132 million monthly active users,Games Gaming
** What percentage of global gaming revenue comes from mobile games?,49%,Games Gaming
** How many years did it take to develop Grand Theft Auto V?,5 years,Games Gaming
** How many active streamers does Twitch have monthly?,9.5 million active streamers,Games Gaming
** How many copies of Catan have been sold worldwide?,40 million copies,Games Gaming
** What percentage of gamers are female globally?,46%,Games Gaming
** What is the file size of Call of Duty: Modern Warfare III (in GB)?,235 GB,Games Gaming
** How many registered users does Chess.com have?,150 million registered users,Games Gaming
** How many people work in the US video game industry?,"267,000 people",Games Gaming
** How many daily active users does Roblox have (as of 2024)?,80 million daily active users,Games Gaming
** How many viewers watched The Game Awards 2023?,6 million concurrent viewers,Games Gaming
** How many subscribers does PlayStation Plus have (as of 2024)?,47 million subscribers,Games Gaming
** What is the global gaming accessories market value (in billion USD)?,$12.8 billion,Games Gaming
** Into how many languages was The Legend of Zelda: Tears of the Kingdom localized?,10 languages,Games Gaming
** What was the compound annual growth rate of the gaming industry (2018-2023)?,8.2%,Games Gaming
** What is the average resting heart rate for a healthy adult (beats per minute)?,72 beats per minute,Human Body Health
** What percentage of the human body's weight is made up of water?,60%,Human Body Health
** How many bones are in the adult human body?,206 bones,Human Body Health
** How many ounces of water should an average adult drink daily (according to general health guidelines)?,64 ounces (8 cups),Human Body Health
** What is the current global average human life expectancy at birth?,73.4 years,Human Body Health
** How many liters of blood does an average adult human have?,4.5-5.5 liters (average 5 liters),Human Body Health
** What percentage of the air we breathe is oxygen?,21%,Human Body Health
** How many times does the average person blink per minute?,15-20 times per minute (average 17),Human Body Health
** What is the normal human body temperature in degrees Celsius?,37°C,Human Body Health
** What percentage of the human brain is composed of water?,73%,Human Body Health
** How many calories does an average person burn during 8 hours of sleep?,320-560 calories (average 440 for 150lb person),Human Body Health
** What is the average human walking speed in miles per hour?,3.1 mph,Human Body Health
** What percentage of DNA do humans share with chimpanzees?,98.8%,Human Body Health
** How many taste buds does the average human have on their tongue?,"8,000-10,000 taste buds",Human Body Health
** How fast can a human sneeze travel in miles per hour?,100 mph,Human Body Health
** What percentage of cells in the human body are bacterial cells?,57%,Human Body Health
** How many times does an average person breathe in one day?,"22,000 breaths",Human Body Health
** How many days is a full-term human pregnancy?,280 days (40 weeks),Human Body Health
** What percentage of the body's oxygen consumption does the brain use?,20%,Human Body Health
** How many muscles are in the human body?,600-650 muscles,Human Body Health
** What is the fastest recorded human running speed in miles per hour?,27.8 mph,Human Body Health
** What percentage of daily calories does the brain consume at rest?,20%,Human Body Health
** How many hours of sleep per night is recommended for adults?,7-9 hours,Human Body Health
** What is considered normal systolic blood pressure for adults?,120 mmHg,Human Body Health
** How many times does the human heart beat in one day?,"100,000 beats",Human Body Health
Publication Year Questions,1937,Literature Books
Sales Figures Questions,500+ million copies,Literature Books
Page Count Questions,"4,224 pages",Literature Books
Quantity/Count Questions,62 original books (plus spin-offs),Literature Books
Award/Record Questions,"47,094 words",Literature Books
Historical Publishing Questions,1455,Literature Books
Modern Publishing Questions,Approximately 4 million (including self-published),Literature Books
Library/Collection Questions,173+ million items,Literature Books
Author-Specific Questions,65 novels,Literature Books
** In what year did The Beatles officially disband?,1970,Music Arts
** What is the estimated insurance value of the Mona Lisa in US dollars?,$870 million (as of 2023 valuation),Music Arts
** How many albums has Michael Jackson sold worldwide (including solo and group work)?,Approximately 750 million records,Music Arts
** What is the typical duration of a complete performance of Beethoven's 9th Symphony?,About 65-74 minutes (average 70 minutes),Music Arts
** How many paintings did Vincent van Gogh sell during his lifetime?,"Only 1 painting (""The Red Vineyard"")",Music Arts
** In what year was YouTube founded?,2005,Music Arts
** How many plays did William Shakespeare write?,37 plays (plus collaborations),Music Arts
** What is the highest price ever paid for a painting at auction (in US dollars)?,"$450.3 million (Salvator Mundi by Leonardo da Vinci, 2017)",Music Arts
** How many Grammy Awards has Beyoncé won as of 2024?,32 Grammy Awards,Music Arts
** In what year was the first iPhone released?,2007,Music Arts
** How many people visit the Louvre Museum in a typical year (pre-COVID)?,Approximately 10 million visitors,Music Arts
** How many songs has Bob Dylan written throughout his career?,Over 600 songs,Music Arts
** How old was Mozart when he composed his first symphony?,"8 years old (Symphony No. 1 in E-flat major, K. 16)",Music Arts
** How many Harry Potter books have been sold worldwide?,Over 600 million copies,Music Arts
** In what year were the Academy Awards first televised?,1953,Music Arts
** How many instruments are typically in a full symphony orchestra?,About 100 instruments (varies 80-110),Music Arts
** What was the total gross revenue of the highest-grossing concert tour of all time (in US dollars)?,$1.4 billion (Elton John's Farewell Yellow Brick Road),Music Arts
** How many episodes of The Simpsons have been produced as of 2024?,Over 750 episodes,Music Arts
** In what year was the first permanent photograph taken?,1826 (or 1827),Music Arts
** What is the annual revenue of the global recorded music industry (in US dollars)?,Approximately $28.6 billion (2023),Music Arts
** How many distinct painted scenes are on the ceiling of the Sistine Chapel?,"9 main scenes from Genesis, plus many other figures (total 343 figures)",Music Arts
** In what year did Spotify launch in Europe?,2008,Music Arts
** How many artworks did Pablo Picasso create throughout his career?,"Approximately 50,000 works (including paintings, drawings, sculptures, ceramics)",Music Arts
"** How many performances did ""The Phantom of the Opera"" have on Broadway?","13,981 performances (1988-2023)",Music Arts
"** In what year was the first feature-length ""talkie"" movie released?","1927 (""The Jazz Singer"")",Music Arts
** In what year (approximately) were the Ten Commandments given to Moses according to biblical chronology?,1446 BCE,Religion Philosophy
** How many Christians are there worldwide (approximately)?,2.4 billion,Religion Philosophy
** How many Buddhists are there worldwide?,535 million,Religion Philosophy
** How many Hindus are there worldwide?,1.2 billion,Religion Philosophy
** In what year was the Quran first compiled in written form?,653 CE,Religion Philosophy
** How many popes have there been in the history of the Catholic Church?,266,Religion Philosophy
** How many Jewish people are there worldwide?,15.7 million,Religion Philosophy
** In what year (approximately) was the Torah written according to scholarly consensus?,600-400 BCE,Religion Philosophy
** How many Muslims are there worldwide?,1.9 billion,Religion Philosophy
** Approximately how many Buddhist temples are there in Thailand?,"40,000",Religion Philosophy
** In what year was Confucius born?,551 BCE,Religion Philosophy
** How many people live in Vatican City?,764,Religion Philosophy
** How many deities are recognized in Hinduism?,33 million (33 crores),Religion Philosophy
** In what year was Laozi (founder of Taoism) believed to have lived?,6th century BCE (c. 571 BCE),Religion Philosophy
** Approximately how many Christian denominations exist worldwide?,"45,000",Religion Philosophy
** How many Sikhs are there worldwide?,28 million,Religion Philosophy
** In what year did Buddha (Siddhartha Gautama) live?,c. 563-483 BCE,Religion Philosophy
