Name,Description,Category
Problem,I could really use a smaller _____!,Karobari
Problem,I wish _____ were more fun!,Karobari
Problem,I would like to support _____!,Karobari
Problem,I would like to know when _____ happens!,Karobari
Problem,I want people to know about my _____!,Karobari
Problem,I keep ruining _____!,Karobari
Problem,I’ve always wanted to explore _____!,Karobari
Problem,I’m tired of getting _____ every single day!,Karobari
Problem,I wish I was more _____!,Karobari
Problem,I keep getting _____ on me!,Karobari
Problem,I am not looking forward to _____!,Karobari
Problem,_____ just doesn’t satisfy me anymore!,Karobari
Problem,I’m tired of people borrowing my _____!,Karobari
Problem,I never know what to buy for _____!,Karobari
Problem,I keep getting interrupted when I _____!,Karobari
Problem,I require a very fancy _____!,Karobari
Problem,There’s a real risk I might _____!,Karobari
Problem,I never know how much to _____!,Karobari
Problem,I can’t hold on to _____!,Karobari
Problem,"I need to change _____, now!",Karobari
Problem,I can’t stand how slow _____ is!,Karobari
Problem,People are always staring at my _____!,Karobari
Problem,I miss the good ol’ days of _____!,Karobari
Problem,My _____ leaks!,Karobari
Problem,I want to be the first person to _____!,Karobari
Problem,I wish I had the energy to _____!,Karobari
Problem,My spouse keeps forgetting my _____!,Karobari
Problem,I need a place just for my _____!,Karobari
Problem,I need to organize _____!,Karobari
Problem,I think my parents might be getting _____!,Karobari
Problem,_____ is just too crowded.,Karobari
Problem,There’s never enough time to _____!,Karobari
Problem,I hate getting older because of _____!,Karobari
Problem,My job needs more _____!,Karobari
Problem,I always forget _____ when I travel!,Karobari
Problem,I’m only happy when I _____!,Karobari
Problem,I get so sleepy when I have to _____!,Karobari
Problem,"When I get angry, I _____!!!",Karobari
Problem,My house always smells like _____!,Karobari
Problem,Wild animals keep eating my _____!,Karobari
Problem,My vacations are always ruined by _____!,Karobari
Problem,I want to get in shape while I _____!,Karobari
Problem,I regret that I never _____!,Karobari
Problem,_____ always make me cry!,Karobari
Problem,I’m worried I’m not prepared for _____!,Karobari
Problem,I want to safely _____!,Karobari
Problem,I want to help the environment while I _____!,Karobari
Problem,I have trouble climbing _____!,Karobari
Problem,I need to defend myself from _____!,Karobari
Problem,"When I speak in public, I _____.",Karobari
Problem,I’m tired of having my son explain _____ to me!,Karobari
Problem,I hate rishta hunting because of _____!,Karobari
Problem,I don’t invite people over because of _____!,Karobari
Problem,I need a way to get out of _____!,Karobari
Problem,I wish my kids would _____!,Karobari
Problem,"As I get older, I need more _____!",Karobari
Problem,I can’t sleep without _____!,Karobari
Problem,Constant _____ is stressing me out!,Karobari
Problem,I dread the holidays because of _____!,Karobari
Problem,I don’t enjoy _____ anymore!,Karobari
Problem,I mess up my job interviews when I _____!,Karobari
Problem,I can’t get _____ out of my clothes!,Karobari
Problem,I want to _____ like I used to!,Karobari
Problem,I’m tired of my spouse taking my _____!,Karobari
Problem,I just want to _____ all day!,Karobari
Problem,I waste too much time _____!,Karobari
Problem,I’m scared to start _____!,Karobari
Problem,I’m dissatisfied with the quality of _____.,Karobari
Problem,I have a terrible relationship with _____!,Karobari
Problem,I have to get up in the middle of the night to _____!,Karobari
Problem,I’m disgusted by _____.,Karobari
Problem,I’m angry about _____!,Karobari
Problem,I’m too tired to _____!,Karobari
Problem,_____ happens too frequently.,Karobari
Problem,I am obsessed with _____!,Karobari
Problem,I think _____ is just too dangerous!,Karobari
Problem,I want to walk and _____ at the same time!,Karobari
Problem,I can never find a good _____!,Karobari
Problem,All I do is work on my _____!,Karobari
Problem,"I’m due in court, but I have a _____!",Karobari
Problem,_____ is too cold!,Karobari
Problem,I’m tired of endless _____!,Karobari
Problem,There’s always a _____ outside my window!,Karobari
Problem,I really need access to _____!,Karobari
Problem,I wish I knew more about _____!,Karobari
Problem,I hate that everyone calls me _____!,Karobari
Problem,I want to be in the _____ Hall of Fame!,Karobari
Problem,I love having a pool but I hate _____!,Karobari
Problem,My lunch break is always interrupted by _____!,Karobari
Problem,I worry about running into _____ in a dark alley!,Karobari
Problem,I’m scared of finding _____ in my basement!,Karobari
Problem,My cat won’t stop _____!,Karobari
Problem,I always _____ at weddings!,Karobari
Problem,I always get hungry while I _____!,Karobari
Problem,I wish I could reuse _____!,Karobari
Problem,I hate shopping because of _____!,Karobari
Problem,I can’t stop thinking about _____!,Karobari
Problem,My family needs more _____!,Karobari
Problem,Nothing embarrasses me more than _____!,Karobari
Problem,I want to drive and _____ at the same time!,Karobari
Problem,I can’t sleep because of _____!,Karobari
Problem,I don’t trust _____!,Karobari
Problem,I have too many _____!,Karobari
Problem,I wish I could meet _____!,Karobari
Problem,"I need to get _____, fast!",Karobari
Problem,I have too many _____ lying around my house!,Karobari
Problem,The worst part of work is _____!,Karobari
Problem,I can’t relax because of _____!,Karobari
Problem,I wish I knew what it was like to _____!,Karobari
Problem,I’m tired of hearing about _____!,Karobari
Problem,I’m always attracting _____!,Karobari
Problem,I’m constantly cleaning my _____!,Karobari
Problem,I would love to _____ like a professional!,Karobari
Problem,I want to live like _____!,Karobari
Problem,I wish I could get my _____ back!,Karobari
Problem,The worst part of winter is _____!!!,Karobari
Problem,I find _____ to be incredibly dangerous!,Karobari
Problem,My biggest fear is _____!,Karobari
Problem,It’s embarrassing to be on a date and not have _____!,Karobari
Problem,I hate going camping because of _____!,Karobari
Problem,I annoy people when I _____!,Karobari
Problem,I’m always losing my _____!,Karobari
Problem,I’m tired of not being able to _____!,Karobari
Problem,"In five years, we’ll all say “We should’ve stopped _____.”",Karobari
Problem,There’s gotta be a way to make _____ less boring!,Karobari
Problem,I would get more work done if I didn’t have to _____!,Karobari
Problem,My garden is infested with _____!,Karobari
Problem,They won’t let me take my _____ on airplanes!,Karobari
Problem,My kids won’t leave _____ alone!,Karobari
Problem,My baby needs to learn to _____!,Karobari
Problem,I want to make my own _____!,Karobari
Problem,Why can’t _____ be cheaper?!,Karobari
Problem,I hate to fly because of _____.,Karobari
Problem,_____ keeps me from working out!,Karobari
Problem,I find _____ to be straight-up confusing.,Karobari
Problem,I’m always tired because I _____!,Karobari
Problem,I want to always have _____ with me!,Karobari
Problem,I need more _____ in my diet.,Karobari
Problem,"Every time I turn on the tv, I see _____.",Karobari
Problem,People always ask me for _____.,Karobari
Problem,_____ keep appearing on my doorstep!,Karobari
Problem,I’m always craving _____!,Karobari
Problem,I can never remember my _____.,Karobari
Problem,I’m constantly running from _____.,Karobari
Problem,I find _____ to be very disagreeable.,Karobari
Problem,I absolutely hate the sound of _____.,Karobari
Problem,I wish _____ was more accessible.,Karobari
Problem,_____ terrifies me!,Karobari
Problem,I’m embarrassed to love _____!,Karobari
Problem,I keep getting arrested for _____!,Karobari
Problem,I really miss _____!,Karobari
Problem,My _____ keeps coming back!,Karobari
Problem,I want to _____ with my family!,Karobari
Problem,I can never get caught up on _____!,Karobari
Problem,I wish I knew what is was like to be _____.,Karobari
Problem,I hate waiting more than five minutes for _____!,Karobari
Problem,I wish I could always be in _____!,Karobari
Problem,I hate to eat _____!,Karobari
Problem,I want to learn more about _____!,Karobari
Problem,I want to see more _____!,Karobari
Problem,_____ are too tall!,Karobari
Problem,I don’t look good in _____!,Karobari
Problem,I never have a _____ when I need one!,Karobari
Problem,Whenever I throw a party _____ shows up!,Karobari
Problem,I hate going to _____!,Karobari
Problem,My friends are too busy with their _____!,Karobari
Problem,"Everywhere I look, I see _____!",Karobari
Problem,I don’t like amusement parks because of _____!,Karobari
Problem,I have a hard time finding _____!,Karobari
Problem,I want everyone to see _____!,Karobari
Problem,I want to cover up _____!,Karobari
Problem,I need a way to cheat _____!,Karobari
Problem,I’m afraid of choking on _____!,Karobari
Problem,I don’t want to think about _____ again!,Karobari
Problem,I hate the taste of _____!,Karobari
Problem,My coworkers never _____!,Karobari
Problem,I suspect my neighbor is _____!,Karobari
Problem,I cracked my _____!,Karobari
Problem,I need a more powerful _____!,Karobari
Problem,I hate _____ by myself!,Karobari
Problem,Nobody will _____ me anymore!,Karobari
Problem,I have a hard time keeping _____!,Karobari
Problem,"I spilled _____, everywhere!",Karobari
Problem,I want to know about the latest _____!,Karobari
Problem,My relatives left a bunch of _____ at my house!,Karobari
Problem,There’s a hole in my _____!,Karobari
Problem,I can’t avoid _____!,Karobari
Problem,I keep putting off _____!,Karobari
Problem,My _____ grows too fast!,Karobari
Problem,I can’t see _____!,Karobari
Problem,I’m always getting stuck with _____!,Karobari
Problem,I want to impress people with _____!,Karobari
Problem,My _____ keeps getting wet!,Karobari
Problem,I can’t quite reach _____!,Karobari
Problem,I’m having a hard time grasping _____!,Karobari
Problem,I want to get slowly involved in _____,Karobari
Problem,I wish everyone would _____!,Karobari
Problem,I need a way to measure _____!,Karobari
Problem,I want to pay tribute to _____.,Karobari
Problem,I seriously need to reduce my _____!,Karobari
